YDF Fisher-Yates,per-proj. nnz=3,trees=50,5 repeats,-1 depth,Intel(R) Core(TM) Ultra 9 185H,1 thread(s)
n,128,256,512,,,,,,128_std,256_std,512_std
128,10.1990,10.3221,10.1639,,,,,,0.1155,0.1842,0.2305
256,21.4652,121.2543,20.9242,,,,,,0.2781,224.6163,0.1998
512,44.7262,43.6084,43.7871,,,,,,0.6671,0.3423,0.2505
