YDF Fisher-Yates,per-proj. nnz=3,trees=50,7 repeats,-1 depth,Intel(R) Core(TM) Ultra 9 185H,1 thread(s)
n,128,256,512,1024,2048,4096
128,1.6917,1.6685,1.7212,1.7363,1.8259,2.0140
256,4.7008,4.7284,4.7501,4.8406,4.9766,5.3144
512,12.9573,12.8649,12.8776,13.0256,13.5306,14.2962
1024,35.1463,34.1717,34.0444,34.4552,34.7127,37.3491
